step,position,action,market_return,gross_pnl,cost,net_pnl,cumul_net_pnl
450,-19.805485,SHORT,6.8e-05,-0.001343,5e-06,-0.001348,0.372655
451,-19.781485,SHORT,-0.006189,0.12242,1.2e-05,0.122408,0.495063
452,-19.120647,SHORT,0.009032,-0.172698,0.00033,-0.173028,0.322034
453,18.645145,LONG,0.001756,0.032744,0.018883,0.013861,0.335895
454,-19.788908,SHORT,0.00209,-0.041356,0.019217,-0.060573,0.275322
455,-19.58654,SHORT,-0.003035,0.059447,0.000101,0.059346,0.334668
456,-19.386417,SHORT,-0.000338,0.006549,0.0001,0.006449,0.341117
457,-19.847931,SHORT,-0.003384,0.067172,0.000231,0.066941,0.408058
458,-19.858763,SHORT,0.000203,-0.004039,5e-06,-0.004044,0.404014
459,-19.84593,SHORT,0.003586,-0.071173,6e-06,-0.07118,0.332834
460,-19.856157,SHORT,-0.003383,0.067172,5e-06,0.067167,0.400001
461,-19.77371,SHORT,-0.000339,0.006702,4.1e-05,0.006661,0.406662
462,-19.744488,SHORT,0.001693,-0.033437,1.5e-05,-0.033452,0.37321
463,-19.787468,SHORT,0.000541,-0.010711,2.1e-05,-0.010733,0.362478
464,-19.76605,SHORT,0.004185,-0.082726,1.1e-05,-0.082736,0.279742
465,-19.486916,SHORT,-0.001146,0.022329,0.00014,0.022189,0.30193
466,-19.656132,SHORT,0.003097,-0.060884,8.5e-05,-0.060968,0.240962
467,-19.674437,SHORT,-0.001817,0.035746,9e-06,0.035737,0.2767
468,-19.720745,SHORT,0.002086,-0.041133,2.3e-05,-0.041156,0.235543
469,-19.780001,SHORT,-0.000471,0.009309,3e-05,0.009279,0.244822
470,-19.754751,SHORT,-0.001615,0.031908,1.3e-05,0.031895,0.276717
471,-19.72678,SHORT,0.000943,-0.018593,1.4e-05,-0.018607,0.25811
472,-19.743025,SHORT,0.00074,-0.014608,8e-06,-0.014616,0.243494
473,-19.806734,SHORT,-0.003368,0.066703,3.2e-05,0.066671,0.310165
474,-19.776155,SHORT,-0.003311,0.065486,1.5e-05,0.065471,0.375636
475,-18.875303,SHORT,-0.000745,0.01406,0.00045,0.013609,0.389245
476,-11.998848,SHORT,-0.002917,0.035002,0.003438,0.031564,0.420809
477,19.189816,LONG,-0.000408,-0.007824,0.015594,-0.023418,0.397391
478,18.843353,LONG,-0.000476,-0.008967,0.000173,-0.00914,0.388251
479,18.832577,LONG,0.001223,0.023037,5e-06,0.023031,0.411282
480,17.188828,LONG,0.002239,0.038481,0.000822,0.037659,0.448941
481,19.225458,LONG,0.002301,0.044244,0.001018,0.043226,0.492167
